,seriesID,year,period,month,value,footnotes,netchg_1mo,netchg_3mo,netchg_6mo,netchg_12mo,pctchg_1mo,pctchg_3mo,pctchg_6mo,pctchg_12mo
24,LNS14000000,2025,M06,June,4.1,,-0.1,-0.1,0.0,0.0,-2.4,-2.4,0.0,0.0
25,LNS14000000,2025,M05,May,4.2,,0.0,0.1,0.0,0.2,0.0,2.4,0.0,5.0
26,LNS14000000,2025,M04,April,4.2,,0.0,0.2,0.1,0.3,0.0,5.0,2.4,7.7
27,LNS14000000,2025,M03,March,4.2,,0.1,0.1,0.1,0.3,2.4,2.4,2.4,7.7
28,LNS14000000,2025,M02,February,4.1,,0.1,-0.1,-0.1,0.2,2.5,-2.4,-2.4,5.1
29,LNS14000000,2025,M01,January,4.0,,-0.1,-0.1,-0.2,0.3,-2.4,-2.4,-4.8,8.1
30,LNS14000000,2024,M12,December,4.1,,-0.1,0.0,0.0,0.3,-2.4,0.0,0.0,7.9
31,LNS14000000,2024,M11,November,4.2,,0.1,0.0,0.2,0.5,2.4,0.0,5.0,13.5
32,LNS14000000,2024,M10,October,4.1,,0.0,-0.1,0.2,0.2,0.0,-2.4,5.1,5.1
33,LNS14000000,2024,M09,September,4.1,,-0.1,0.0,0.2,0.3,-2.4,0.0,5.1,7.9
34,LNS14000000,2024,M08,August,4.2,,0.0,0.2,0.3,0.5,0.0,5.0,7.7,13.5
35,LNS14000000,2024,M07,July,4.2,,0.1,0.3,0.5,0.7,2.4,7.7,13.5,20.0
36,LNS14000000,2024,M06,June,4.1,,0.1,0.2,0.3,0.5,2.5,5.1,7.9,13.9
37,LNS14000000,2024,M05,May,4.0,,0.1,0.1,0.3,0.4,2.6,2.6,8.1,11.1
38,LNS14000000,2024,M04,April,3.9,,0.0,0.2,0.0,0.5,0.0,5.4,0.0,14.7
39,LNS14000000,2024,M03,March,3.9,,0.0,0.1,0.1,0.4,0.0,2.6,2.6,11.4
40,LNS14000000,2024,M02,February,3.9,,0.2,0.2,0.2,0.3,5.4,5.4,5.4,8.3
41,LNS14000000,2024,M01,January,3.7,,-0.1,-0.2,0.2,0.2,-2.6,-5.1,5.7,5.7
42,JTS000000000000000JOR,2025,M10,October,4.6,preliminary,0.0,0.3,0.2,0.0,0.0,7.0,4.5,0.0
43,JTS000000000000000JOR,2025,M09,September,4.6,,0.3,0.2,0.3,0.3,7.0,4.5,7.0,7.0
44,JTS000000000000000JOR,2025,M08,August,4.3,preliminary,0.0,-0.3,-0.2,-0.3,0.0,-6.5,-4.4,-6.5
45,JTS000000000000000JOR,2025,M07,July,4.3,,-0.1,-0.1,-0.4,-0.2,-2.3,-2.3,-8.5,-4.4
46,JTS000000000000000JOR,2025,M06,June,4.4,,-0.2,0.1,-0.1,-0.1,-4.3,2.3,-2.2,-2.2
47,JTS000000000000000JOR,2025,M05,May,4.6,,0.2,0.1,-0.2,-0.2,4.5,2.2,-4.2,-4.2
48,JTS000000000000000JOR,2025,M04,April,4.4,,0.1,-0.3,-0.2,-0.2,2.3,-6.4,-4.3,-4.3
49,JTS000000000000000JOR,2025,M03,March,4.3,,-0.2,-0.2,0.0,-0.6,-4.4,-4.4,0.0,-12.2
50,JTS000000000000000JOR,2025,M02,February,4.5,,-0.2,-0.3,-0.1,-0.6,-4.3,-6.3,-2.2,-11.8
51,JTS000000000000000JOR,2025,M01,January,4.7,,0.2,0.1,0.2,-0.4,4.4,2.2,4.4,-7.8
52,JTS000000000000000JOR,2024,M12,December,4.5,,-0.3,0.2,0.0,-0.7,-6.3,4.7,0.0,-13.5
53,JTS000000000000000JOR,2024,M11,November,4.8,,0.2,0.2,0.0,-0.4,4.3,4.3,0.0,-7.7
54,JTS000000000000000JOR,2024,M10,October,4.6,,0.3,0.1,0.0,-0.6,7.0,2.2,0.0,-11.5
55,JTS000000000000000JOR,2024,M09,September,4.3,,-0.3,-0.2,-0.6,-1.3,-6.5,-4.4,-12.2,-23.2
